teamId,TotalShotsWhenHome,TotalShotsOnTargetWhenHome,RatioShotsOnTargetPerMatchWhenHome,RatioShotsOnTargetPerMatchWhenAway,TotalShotsWhenAway,TotalShotsOnTargetWhenAway
West Ham,163.0,73.0,0.448,0.359,237.0,85.0
Liverpool,254.0,102.0,0.402,0.277,130.0,36.0
Norwich,170.0,66.0,0.388,0.329,225.0,74.0
Everton,203.0,78.0,0.384,0.41,183.0,75.0
Burnley,180.0,69.0,0.383,0.295,220.0,65.0
Man Utd,246.0,94.0,0.382,0.312,170.0,53.0
Arsenal,191.0,69.0,0.361,0.287,195.0,56.0
Chelsea,263.0,93.0,0.354,0.369,149.0,55.0
Leicester,207.0,72.0,0.348,0.367,166.0,61.0
Bournemouth,145.0,50.0,0.345,0.364,231.0,84.0
Sheffield United,178.0,58.0,0.326,0.282,174.0,49.0
Southampton,186.0,60.0,0.323,0.355,172.0,61.0
Newcastle United,172.0,54.0,0.314,0.437,222.0,97.0
Man City,279.0,87.0,0.312,0.448,125.0,56.0
Tottenham,187.0,58.0,0.31,0.362,246.0,89.0
Crystal Palace,175.0,53.0,0.303,0.298,225.0,67.0
Aston Villa,187.0,56.0,0.299,0.293,294.0,86.0
Wolves,189.0,56.0,0.296,0.299,177.0,53.0
Brighton,193.0,56.0,0.29,0.378,217.0,82.0
Watford,200.0,49.0,0.245,0.329,210.0,69.0
